SiteID,ProjectCode,TesterID,DATE,TIME,LOT NAME,LOGIN MODE,STOP TIME,RESTART TIME,DOWN TIME,KEYWORD,STATUS,ERROR CODE,ERROR TYPE,ERROR MESSAGE,MESSAGE
MI_X,X123,FFXX,29/05/2018,0:01:33,MTAXMC18500513,OPERATOR,0:01:33,0:02:23,50,WARNING,,103,TC1,(103)Tester Station 2 No Respond For Long Time,
MI_X,X123,FFXX,29/05/2018,0:02:23,MTAXMC18500513,OPERATOR,0:02:23,0:02:23,0,WARNING,,103,TC1,(103)Tester Station 2 No Respond For Long Time,
MI_X,X123,FFXX,29/05/2018,0:02:30,MTAXMC18500513,OPERATOR,0:02:30,0:04:43,133,WARNING,,102,TC1,(102)Tester Station 1 No Respond For Long Time,
MI_X,X123,FFXX,29/05/2018,0:04:27,MTAXMC18500513,OPERATOR,0:04:27,0:04:42,15,WARNING,,102,TC3,(102)Tester Station 1 No Respond For Long Time,
MI_X,X123,FFXX,29/05/2018,0:36:41,MTAXMC18500513,OPERATOR,0:36:41,0:36:59,18,WARNING,,35,Output Stacker,(35)Tray Removal In Progress,
MI_X,X123,FFXX,29/05/2018,0:39:23,MTAXMC18500513,OPERATOR,0:39:23,0:41:19,116,WARNING,,33,Output Stacker,(33)Tray Exchange Vacumn Switch Not ON,
MI_X,X123,FFXX,29/05/2018,0:46:42,MTAXMC18500513,OPERATOR,0:46:42,0:47:21,39,ERROR,,33,Shuttle,(33)HMI Disconnected,
MI_X,X123,FFXX,29/05/2018,0:47:48,MTAXMC18500513,OPERATOR,0:47:48,0:58:17,629,ERROR,,33,Shuttle,(33)HMI Disconnected,
MI_X,X123,FFXX,29/05/2018,0:58:17,MTAXMC18500513,OPERATOR,,,,INITIALIZE START,,,,,INITIALIZE_START
MI_X,X123,FFXX,29/05/2018,0:58:25,MTAXMC18500513,OPERATOR,,,,INITIALIZE END,,,,,INITIALIZE_END
MI_X,X123,FFXX,29/05/2018,0:59:31,MTAXMC18500513,OPERATOR,0:59:31,0:59:42,11,WARNING,,33,Output Stacker,(33)Tray Exchange Vacumn Switch Not ON,
MI_X,X123,FFXX,29/05/2018,0:59:42,MTAXMC18500513,OPERATOR,0:59:42,0:59:43,1,WARNING,,33,Output Stacker,(33)Tray Exchange Vacumn Switch Not ON,
MI_X,X123,FFXX,29/05/2018,0:59:44,MTAXMC18500513,OPERATOR,0:59:44,1:00:01,17,WARNING,,33,Output Stacker,(33)Tray Exchange Vacumn Switch Not ON,
MI_X,X123,FFXX,29/05/2018,1:05:54,MTAXMC18500513,OPERATOR,1:05:54,1:07:42,108,WARNING,,33,Output Stacker,(33)Tray Exchange Vacumn Switch Not ON,
MI_X,X123,FFXX,29/05/2018,1:07:30,MTAXMC18500513,OPERATOR,1:07:30,1:07:42,12,WARNING,,3,Shuttle,(3)Door Opened,
MI_X,X123,FFXX,29/05/2018,1:07:42,MTAXMC18500513,OPERATOR,1:07:42,1:07:42,0,WARNING,,3,Shuttle,(3)Door Opened,
MI_X,X123,FFXX,29/05/2018,1:27:22,MTAXMC18500513,OPERATOR,1:27:22,1:27:35,13,WARNING,,2,Input Stacker,(2)Empty Input Tray Drawer Removed,
MI_X,X123,FFXX,29/05/2018,1:28:56,MTAXMC18500513,OPERATOR,1:28:56,1:29:34,38,WARNING,,26,Output Stacker,(26)Vacumn Switch 10 Not ON,
MI_X,X123,FFXX,29/05/2018,1:29:13,MTAXMC18500513,OPERATOR,1:29:13,1:29:34,21,WARNING,,3,Shuttle,(3)Door Opened,
MI_X,X123,FFXX,29/05/2018,1:34:04,MTAXMC18500513,OPERATOR,1:34:04,1:39:56,352,WARNING,,15,Input Stacker,(15)Tray Removal In Progress,
MI_X,X123,FFXX,29/05/2018,1:34:47,MTAXMC18500513,OPERATOR,1:34:47,1:35:32,45,WARNING,,35,Output Stacker,(35)Tray Removal In Progress,
MI_X,X123,FFXX,29/05/2018,1:39:02,MTAXMC18500513,OPERATOR,,,,END,,,,,END
MI_X,X123,FFXX,29/05/2018,1:39:02,MTAXMC18500513,OPERATOR,,,,RETEST START,1,,,,RETEST 1 START
MI_X,X123,FFXX,29/05/2018,1:39:46,MTAXMC18500513,OPERATOR,1:39:46,1:39:56,10,WARNING,,21,PnP1,(21)Load Vacumn Switch 3 Not ON,
MI_X,X123,FFXX,29/05/2018,1:39:57,MTAXMC18500513,OPERATOR,1:39:57,1:41:24,87,WARNING,,1,Input Stacker,(1)Loaded Input Tray Drawer Removed,
MI_X,X123,FFXX,29/05/2018,1:41:04,MTAXMC18500513,OPERATOR,1:41:04,1:41:24,20,WARNING,,3,Shuttle,(3)Door Opened,
MI_X,X123,FFXX,29/05/2018,1:41:24,MTAXMC18500513,OPERATOR,1:41:24,1:42:13,49,WARNING,,1,Input Stacker,(1)Loaded Input Tray Drawer Removed,
MI_X,X123,FFXX,29/05/2018,1:41:34,MTAXMC18500513,OPERATOR,1:41:34,1:42:13,39,WARNING,,18,PnP3,(18)Load Vacumn Switch 6 Not ON,
MI_X,X123,FFXX,29/05/2018,1:42:03,MTAXMC18500513,OPERATOR,1:42:03,1:42:13,10,WARNING,,3,Shuttle,(3)Door Opened,
MI_X,X123,FFXX,29/05/2018,1:42:14,MTAXMC18500513,OPERATOR,1:42:14,1:44:43,149,WARNING,,1,Input Stacker,(1)Loaded Input Tray Drawer Removed,
MI_X,X123,FFXX,29/05/2018,1:44:24,MTAXMC18500513,OPERATOR,1:44:24,1:44:43,19,WARNING,,28,Output Stacker,(28)Vacumn Switch 12 Not ON,
MI_X,X123,FFXX,29/05/2018,1:44:44,MTAXMC18500513,OPERATOR,1:44:44,1:48:34,230,WARNING,,1,Input Stacker,(1)Loaded Input Tray Drawer Removed,
MI_X,X123,FFXX,29/05/2018,1:48:11,MTAXMC18500513,OPERATOR,1:48:11,1:48:34,23,WARNING,,33,Output Stacker,(33)Tray Exchange Vacumn Switch Not ON,
MI_X,X123,FFXX,29/05/2018,1:48:20,MTAXMC18500513,OPERATOR,1:48:20,1:48:34,14,WARNING,,3,Shuttle,(3)Door Opened,
MI_X,X123,FFXX,29/05/2018,1:48:34,MTAXMC18500513,OPERATOR,1:48:34,1:48:35,1,WARNING,,3,Shuttle,(3)Door Opened,
MI_X,X123,FFXX,29/05/2018,1:48:34,MTAXMC18500513,OPERATOR,1:48:34,1:51:42,188,WARNING,,1,Input Stacker,(1)Loaded Input Tray Drawer Removed,
MI_X,X123,FFXX,29/05/2018,1:51:27,MTAXMC18500513,OPERATOR,1:51:27,1:51:42,15,WARNING,,28,Output Stacker,(28)Vacumn Switch 12 Not ON,
MI_X,X123,FFXX,29/05/2018,1:51:43,MTAXMC18500513,OPERATOR,1:51:43,1:53:27,104,WARNING,,1,Input Stacker,(1)Loaded Input Tray Drawer Removed,
MI_X,X123,FFXX,29/05/2018,1:53:10,MTAXMC18500513,OPERATOR,1:53:10,1:53:27,17,WARNING,,12,PnP1,(12)Unload Vacumn Switch 12 Not ON,
MI_X,X123,FFXX,29/05/2018,1:53:27,MTAXMC18500513,OPERATOR,1:53:27,1:54:36,69,WARNING,,1,Input Stacker,(1)Loaded Input Tray Drawer Removed,
MI_X,X123,FFXX,29/05/2018,1:53:39,MTAXMC18500513,OPERATOR,1:53:39,1:54:36,57,WARNING,,3,Shuttle,(3)Door Opened,
MI_X,X123,FFXX,29/05/2018,1:54:37,MTAXMC18500513,OPERATOR,1:54:37,1:58:00,203,WARNING,,1,Input Stacker,(1)Loaded Input Tray Drawer Removed,
MI_X,X123,FFXX,29/05/2018,1:54:46,MTAXMC18500513,OPERATOR,,,,RETEST END,,,,,RETEST 1 END
MI_X,X123,FFXX,29/05/2018,1:54:46,MTAXMC18500513,OPERATOR,,,,RETEST START,2,,,,RETEST 2 START
